DEBUG:comtypes:CoInitializeEx(None, 2)
INFO:comtypes.client._code_cache:Could not import comtypes.gen, trying to create it.
INFO:comtypes.client._code_cache:Created comtypes.gen directory: 'C:\Users\Harry\AppData\Local\Programs\Python\Python39\lib\site-packages\comtypes\gen'
INFO:comtypes.client._code_cache:Writing __init__.py file: 'C:\Users\Harry\AppData\Local\Programs\Python\Python39\lib\site-packages\comtypes\gen\__init__.py'
INFO:comtypes.client._code_cache:Using writeable comtypes cache directory: 'C:\Users\Harry\AppData\Local\Programs\Python\Python39\lib\site-packages\comtypes\gen'
DEBUG:comtypes.client:SAPI.SpVoice -> {96749377-3391-11D2-9EE3-00C04F797396}
DEBUG:comtypes.client:CoCreateInstance({96749377-3391-11D2-9EE3-00C04F797396}, clsctx=None, interface=None)
DEBUG:comtypes.client:GetBestInterface(<POINTER(IUnknown) ptr=0x1c615d20b40 at 1c615aebec0>)
DEBUG:comtypes.client:Does implement IProvideClassInfo
DEBUG:comtypes.client:Default interface is {269316D8-57BD-11D2-9EEE-00C04F797396}
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a46b10 at 1c615c602c0>
DEBUG:comtypes:Release <POINTER(ITypeLib) ptr=0x1c614893940 at 1c615c60140>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a478d0 at 1c615c605c0>
DEBUG:comtypes:Release <POINTER(ITypeLib) ptr=0x1c614893940 at 1c615c60140>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47928 at 1c615c60ac0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a478d0 at 1c615c60e40>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47928 at 1c615c60f40>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614ad5918 at 1c615c60cc0>
DEBUG:comtypes:Release <POINTER(ITypeLib) ptr=0x1c614893940 at 1c615b3dec0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47878 at 1c615b3dcc0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a478d0 at 1c615b3ddc0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47928 at 1c615b3dec0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a46b10 at 1c615c60c40>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a46b10 at 1c615c60240>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a46b10 at 1c615c60640>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a46b10 at 1c615c6d040>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47198 at 1c615c6d340>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47198 at 1c615c6d1c0>
DEBUG:comtypes:Release <POINTER(ITypeLib) ptr=0x1c614893940 at 1c615c60140>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47a30 at 1c615c60d40>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47a30 at 1c615c6d040>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a46ed8 at 1c615c6dd40>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614ad5918 at 1c615c6d0c0>
DEBUG:comtypes:Release <POINTER(ITypeLib) ptr=0x1c614893940 at 1c615c6dac0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47ae0 at 1c615c6d5c0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47a88 at 1c615c6d1c0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a46b10 at 1c615c6d9c0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a46b10 at 1c615c6d040>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47980 at 1c615c6de40>
DEBUG:comtypes:Release <POINTER(ITypeLib) ptr=0x1c614893940 at 1c615c6db40>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47be8 at 1c615c6dd40>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a469b0 at 1c615c6dd40>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a469b0 at 1c615c6db40>
DEBUG:comtypes:Release <POINTER(ITypeLib) ptr=0x1c614893940 at 1c615c6d6c0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47c40 at 1c615c6d440>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47c40 at 1c615c6de40>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47c40 at 1c615c6da40>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47c40 at 1c615c6de40>
DEBUG:comtypes:Release <POINTER(ITypeLib) ptr=0x1c614893940 at 1c615c6dc40>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47c98 at 1c615c6da40>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47c98 at 1c615c6de40>
DEBUG:comtypes:Release <POINTER(ITypeLib) ptr=0x1c614893940 at 1c615c6df40>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47cf0 at 1c615c6d440>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47cf0 at 1c615c6de40>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a46fe0 at 1c615c6d7c0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a46fe0 at 1c615c6ddc0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47b38 at 1c615caeac0>
DEBUG:comtypes:Release <POINTER(ITypeLib) ptr=0x1c614893940 at 1c615cae740>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47df8 at 1c615cae640>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47df8 at 1c615caea40>
DEBUG:comtypes:Release <POINTER(ITypeLib) ptr=0x1c614893940 at 1c615cb2cc0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47fb0 at 1c615cb2bc0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47f00 at 1c615cb56c0>
DEBUG:comtypes:Release <POINTER(ITypeLib) ptr=0x1c614893940 at 1c615cb78c0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a48218 at 1c615cb77c0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47f00 at 1c615cb7940>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a48008 at 1c615cb7940>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614ad5918 at 1c615cb70c0>
DEBUG:comtypes:Release <POINTER(ITypeLib) ptr=0x1c614893940 at 1c615cb7140>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a481c0 at 1c615cb7240>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a48168 at 1c615cb7040>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614ad5918 at 1c615cb5740>
DEBUG:comtypes:Release <POINTER(ITypeLib) ptr=0x1c614893940 at 1c615cb5840>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a48110 at 1c615cb58c0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a480b8 at 1c615cb56c0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a48008 at 1c615cb5540>
DEBUG:comtypes:Release <POINTER(ITypeLib) ptr=0x1c614893940 at 1c615cb59c0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a48270 at 1c615cb5940>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a48008 at 1c615cb5840>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47f00 at 1c615cb5840>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a48008 at 1c615cb53c0>
DEBUG:comtypes:Release <POINTER(ITypeLib) ptr=0x1c614893940 at 1c615cb5840>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a482c8 at 1c615cb51c0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614ad5918 at 1c615cb2f40>
DEBUG:comtypes:Release <POINTER(ITypeLib) ptr=0x1c614893940 at 1c615cb2e40>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a48060 at 1c615cb2dc0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a48008 at 1c615cb2d40>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a48008 at 1c615cb2d40>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614ad5918 at 1c615cb24c0>
DEBUG:comtypes:Release <POINTER(ITypeLib) ptr=0x1c614893940 at 1c615cb2540>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47f58 at 1c615cb2640>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47f00 at 1c615cb2440>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47f00 at 1c615cb2440>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47fb0 at 1c615cb2040>
